RBS PRS RBI  | Pasensya ka na | true true true
lahat ng NNC  | lahat ng tao | false false true
QOT VBW sa  | QOT sabi sa | false true false
VBW sa PRSP  | sabi sa kanya | true false true
kanya ng NNC  | kanya ng hari | false false true
QOT VBAF ang  | QOT sumagot ang | false true false
PRS sa JJD  | ako sa malayo | true false true
at hindi RBI  | at hindi pa | false false true
Para sa PRSP  | Para sa akin'y | false false true
VBAF ka RBW  | Maghikab ka uli | true false true
VBTR ko ito  | Iniuutos ko ito | true false false
JJD ako ,  | Nahihiya ako , | true false false
ko na RBI  | ko na kaya | false false true
PRS VBTR ang  | niya kinukunsinti ang | true true false
VBTR ang PRI  | kinukunsinti ang anumang | true false true
ang PRI NNC  | ang anumang pagsuway | false true true
kasalanan PRS ito  | kasalanan ko ito | false true false
QOT RBD RBD  | QOT nakikiming tanong | false true true
VBTR PRS sa  | Iniuutos ko sa | true true false
VBW ang NNC  | makapaghahari ang hari | true false true
lahat ng PRO  | lahat ng iyan | false false true
VBW ng munting  | sabi ng munting | true false false
QOT VBTS sa  | QOT sinabi sa | false true false
VBTS sa PRSP  | sinabi sa kanya | true false true
VBTR ang NNC  | kinukunsinti ang kawalan | true false true
VBW PRS ang  | Makakamit mo ang | true true false
At makikita PRS  | At makikita mo | false false true
makikita PRS kung  | makikita mo kung | false true false
PRS kung RBQ  | mo kung paano | true false true
PRS ang RBF  | niya ang di | true false true
VBTR RBI rin  | naiinip na rin | true true false
, VBTF PRS  | , gagawin kitang | false true true
VBTF PRS NNC  | gagawin kitang ministro | true true true
RBI JJD ang  | pa nalilibot ang | true true false
CCT VBTS PRS  | pero nakita ko | true true true
PRL RBL RBL  | doon sa ibaba | true true true
sa PRSP ang  | sa kanya ang | false true false
PRSP ang NNC  | kanya ang hari | true false true
QOT VBTS ng  | QOT sinabi ng | false true false
PRS PRS sa  | ko siya sa | true true false
PRS ang JJD  | mo ang matandang | true false true
ng NNC ,  | ng hari , | false true false
PRS JJD ang  | ko'y tamang-tama ang | true true false
ang NNC RBW  | ang kalagayan ngayon | false true true
Talaga ngang JJD  | Talaga ngang kakaiba | false false true
kanya ng JJD  | kanya ng hambog | false false true
CCT CCT NNC  | Pero sa kamalasan | true true true
RBF VBTR ang  | Walang iniintindi ang | true true false
VBTR ang mga  | iniintindi ang mga | true false false
ang mga JJD  | ang mga hambog | false false true
mga NNC RBI  | mga papuri lamang | false true true
QOT VBW PRS  | QOT tanong niya | false true true
Ano ang VBS  | Ano ang ibig | false false true
mo RBI PRS  | mo lang ako | false true true
RBI ang JJD  | naman ang nakatira | true false true
sa JJD na  | sa sumunod na | false true false
VBTS ng NNC  | inamin ng lasenggo | true false true
Talaga ngang JJCS  | Talaga ngang labis-labis | false false true
ang CDB na  | ang ika'pat na | false true false
CDB na planeta  | ika'pat na planeta | true false false
munting prinsipe CCT  | munting prinsipe sa | false false true
ang NNC PRP  | ang sigarilyo n'yo | false true true
CDB at CDB  | Tatlo at dalawa | true false true
at CDB ay  | at dalawa ay | false true false
CDB ay CDB  | dalawa ay lima | true false true
ay dalawampu't CDB  | ay dalawampu't dalawa | false false true
CDB milyong ano  | Limandaang milyong ano | true false false
PRL ka RBI  | Nariyan ka pa | true false true
CDB CDB NNC  | Limandaa't isang milyong | true true true
VBTS ko na  | Sinabi ko na | true false false
na hindi PRS  | na hindi siya | false false true
NNC PRS ,  | tao ako , | true true false
ano'ng ginagawa PRS  | ano'ng ginagawa mo | false false true
akong isang NNC  | akong isang haring | false false true
VBW ng mga  | makapag-aari ng mga | true false false
Hindi RBI RBI  | Hindi pa rin | false true true
RBI RBI JJD  | pa rin kumbinsido | true true true
JJD ang munting  | kumbinsido ang munting | true false false
PRO RBI RBI  | 'Yon lang ba | true true true
JJD RBI PRO  | Sapat na 'yon | true true true
RBF RBI RBT  | hindi naman talagang | true true true
naman talagang JJD  | naman talagang seryoso | false false true
isang NNC na  | isang bulaklak na | false true false
na VBTR PRS  | na dinidilig ko | false true true
VBTR ko RBW  | dinidilig ko araw-araw | true false true
JJN NNC na  | tatlong bulkan na | true true false
JJD ang CDB  | Kakaibang-kakaiba ang ikalimang | true false true
Ngunit VBTS pa  | Ngunit sinabi pa | false true false
VBTS pa rin  | sinabi pa rin | true false false
ng NNC PRO  | ng taong ito | false true true
VBOF ang iyong  | pinatay ang iyong | true false false
ang iyong NNC  | ang iyong ilaw | false false true
VBOF ang PRSP  | patayin ang aking | true false true
At muli PRS  | At muli niyang | false false true
PRS VBTS ang  | niyang sinindihan ang | true true false
VBTS ang NNC  | sinindihan ang ilaw | true false true
At VBOF PRS  | At pinatay niya | false true true
VBTS ang PRSP  | sinindihan ang kanyang | true false true
VBS PRS VBOF  | Gusto niyang tulungan | true true true
Ang NNC ito  | Ang taong ito | false true false
NNC para sa  | lugar para sa | true false false
JJD sa NNC  | Naupo sa mesa | true false true
na medyo VBTR  | na medyo humihingal | false false true
Sa NNC ,  | Sa wakas , | false true false
At mga NNC  | At mga bundok | false false true
mga NNC at  | mga siyudad at | false true false
NNC at mga  | siyudad at mga | true false false
NNC para VBW  | heograpo para magpagala-gala | true false true
PRS ang mga  | niya ang mga | true false false
na JJD NNC  | na malakas uminom | false true true
sa NNC na  | sa eksplorer na | false true false
RBI RBI ang  | pa naman ang | true true false
RBI ang mga  | lamang ang mga | true false false
sabihin n'yon PMS  | sabihin n'yon – | false false true
n'yon PMS QOT  | n'yon – QOT | false true false
Mga NNC CCT  | Mga libro sa | false true true
PRO ang VBS  | Ito ang ibig | true false true
ang VBS VBOF  | ang ibig sabihin | false true true
VBTR ba sa  | Nanganganib ba sa | true false false
ang NNC ng  | ang kopya ng | false true false
CCT VBOF PRS  | Ngunit nilakasan niya | true true true
NNC ng NNC  | kopya ng drowing | true false true
Ang NNC CCT  | Ang sabi sa | false true true
NNC CCT NNC  | sabi sa libro'y | true true true
VBW ang sinuman  | matatakot ang sinuman | true false false
NNC ang NNP  | planeta ang Lupa | true false true
ang PRI sa  | ang sinuman sa | false true false
Napakagandang NNC ang  | Napakagandang tanawin ang | false true false
sa isang NNC  | sa isang sombrero | false false true
RBF NNC ang  | Hindi sombrero ang | true true false
NNC ang PRSP  | sombrero ang aking | true false true
ang PRSP NNC  | ang aking drowing | false true true
sa RBL ng  | sa kabila ng | false true false
ng mga NNC  | ng mga paliwanag | false false true
RBL ng NNC  | kabila ng talon | true false true
PRC RBI ang  | Ganito naman ang | true true false
naman ang CDB  | naman ang pangalawa | false false true
ang CDB PRS  | ang pangalawa kong | false true true
CDB PRS NNC  | pangalawa kong drowing | true true true
mga nasa NNP  | mga nasa Afrika | false false true
JJD sa JJD  | nakakaintindi sa ganang | true false true
CCT JJD NNC  | sa ganang sarili | true true true
PRP ang NNC  | nila ang matatanda | true false true
JJCS NNC PRO  | Napakalaking tulong nito | true true true
VBW sa NNC  | mawawala sa gabi | true false true
VBS PRS VBW  | Gusto kong malaman | true true true
VBW naman ng  | sabi naman ng | true false false
CCR JJD RBI  | kung magaling nga | true true true
JJD RBI PRS  | magaling nga siyang | true true true
RBI PRS VBAF  | nga siyang umintindi | true true true
VBTF PRS ang  | Ilalagay ko ang | true true false
PRS ang PRSP  | ko ang aking | true false true
sa NNC PRS  | sa lugar niya | false true true
Kaya VBTS PRS  | Kaya nabuhay akong | false true true
VBTS sa NNC  | nasira sa makina | true false true
sa NNC ng  | sa makina ng | false true false
NNC ng PRSP  | makina ng aking | true false true
ng PRSP NNC  | ng aking eroplano | false true true
CCT NNC PRO  | o kamatayan ito | true true true
NNC PRO CCT  | kamatayan ito para | true true true
VBOF mo PRS  | Idrowing mo ako | true false true
mas JJD pa  | mas malakas pa | false true false
PRS PRS CCB  | mo ako ng | true true true
PRS CCB PRI  | ako ng isang | true true true
ng isang NNC  | ng isang tupa | false false true
RBD PRS RBD  | Bigla akong bumangon | true true true
VBOF ng NNC  | tinamaan ng kidlat | true false true
ang JJCS NNC  | ang pinakamagandang larawan | false true true
NNC PRS na  | larawan niya na | true true false
QOT VBW naman  | QOT sabi naman | false true false
CCT RBF PRS  | Ngunit hindi ko | true true true
RBF PRS PRO  | hindi ko ito | true true true
NNC ko'y may  | palagay ko'y may | true false false
ang VBTR PRS  | ang ginagawa mo | false true true
VBTR PRS PRL  | ginagawa mo dito | true true true
RBI PRS sa  | naman siya sa | true true false
PRS sa PRSP  | siya sa akin | true false true
sa PRSP :  | sa akin : | false true false
VBOF mo RBI  | Idrowing mo lang | true false true
PRS RBI JJD  | mo lang basta | true true true
JJD ako CCB  | basta ako ng | true false true
PRO ang NNC  | Iyon ang sawa | true false true
ang NNC na  | ang sawa na | false true false
NNC na RBF  | sawa na di | true false true
RBF JJD ang  | di kita ang | true true false
JJD ang NNC  | kita ang loob | true false true
RBI ang NNC  | naman ang elepante | true false true
JJCS ng NNC  | Napakaliit ng lugar | true false true
Isang NNC ito  | Isang hardin ito | false true false
Mga NNC PRP  | Mga rosas kami | false true true
At VBTS RBI  | At nagdrowing nga | false true true
VBTS RBI PRS  | nagdrowing nga ako | true true true
VBAF ang PRSP  | Ngumiti ang aking | true false true
PRSP NNC na  | aking kaibigan na | true true false
ng NNC ng  | ng puno ng | false true false
NNC na JJD  | kaibigan na magaan | true false true
na JJD ang  | na magaan ang | false true false
May mga NNC  | May mga sungay | false false true
mga NNC PRS  | mga sungay siya | false true true
RBD RBD RBD  | mabubuhay nang matagal | true true true
RBD RBD ang  | nang matagal ang | true true false
ang gusto PRS  | ang gusto ko | false false true
JJD RBI ang  | Ubos na ang | true true false
ang NNC PRS  | ang pasensya ko | false true true
At NNC PRS  | At pahabol kong | false true true
RBI sila NNC  | lang sila interesado | true false true
NNC PRS VBTS  | pahabol kong sinabi | true true true
PRS VBTS :  | kong sinabi : | true true false
NNC ang NNC  | loob ang tupang | true false true
, JJCS ng  | , napakaliit ng | false true false
PRS RBI ,  | ikaw naman , | true true false
RBI , hindi  | naman , hindi | true false false
na NNC RBI  | na tupa naman | false true true
NNC RBI ang  | tupa naman ang | true true false
RBI ang VBTS  | naman ang ibinigay | true false true
ang VBTS ko  | ang ibinigay ko | false true false
VBTS PRS sa  | ibinigay ko sa | true true false
VBAF PRS CCT  | Tumungo siya para | true true true
VBOF ang NNC  | tingnan ang drowing | true false true
ang NNC :  | ang drowing : | false true false
RBI JJCS na  | naman napakaliit na | true true false
PRQ ang NNC  | Ano ang bagay | true false true
NNC na PRO  | bagay na iyan | true false true
ang PRSP VBTR  | ang kanyang iniisip | false true true
VBTR PRS na  | Ipinagmamalaki ko na | true true false
VBW PRS JJD  | malaman niyang nakalilipad | true true true
VBTS niya PMS  | sinabi niya : | true false true
VBTR PRS RBI  | Nakikita mo ba | true true true
VBAF PRS na  | sumagot ako na | true true false
PRS na JJD  | ako na medyo | true false true
, JJD PRS  | , galing ka | false true true
JJD ka RBI  | galing ka rin | true false true
Pero JJD ang  | Pero kulay-ginto ang | false true false
PRS RBI sa  | ka rin sa | true true false
RBI sa NNC  | rin sa langit | true false true
NNC PRS JJD  | planeta ka galing | true true true
RBT RBI ,  | Sige na , | true true false
PRS VBOF ang  | kong naliwanagan ang | true true false
At VBTS PRS  | At tinanong ko | false true true
VBTS PRS PRS  | tinanong ko siya | true true true
PRS nang JJD  | siya nang deretso | true false true
RBF PRS VBAF  | hindi siya sumagot | true true true
VBTF RBI PRS  | Titingnan naman kita | true true true
at wala PRS  | at wala kang | false false true
PRQ RBI ang  | Saan ba ang | true true false
VBS VBOF ang  | gustong dalhin ang | true true false
JJD NNC CCB  | munting prinsipe nang | true true true
VBTR ang PRSP  | humalakhak ang aking | true false true
PRSP NNC :  | aking kaibigan : | true true false
sa RBL PRS  | sa harap niya | false true true
RBD RBD ng  | seryosong sinabi ng | true true false
RBD ng munting  | sinabi ng munting | true false false
dahil sa NNC  | dahil sa kulay | false false true
RBI ng NNC  | naman ng lugar | true false true
PRS , RBF  | n'ya , walang | true false true
RBF PRS gaanong  | Hindi ako gaanong | true true false
para sa NNC  | para sa reputasyon | false false true
VBTS RBI ang  | naniwala naman ang | true true false
RBI ang PRI  | naman ang lahat | true false true
At VBAF siya  | At bumalik siya | false true false
PRI sa PRSP  | lahat sa kanya | true false true
JJD CCT mga  | Mahilig sa mga | true true false
CCT mga NNC  | sa mga bilang | true false true
mga NNC ang  | mga bilang ang | false true false
NNC ang VBS  | laro ang gusto | true false true
VBTR RBI PRS  | Nangungulekta ba siya | true true true
PRS ng mga  | siya ng mga | true false false
PRQ ang kanyang  | Ilan ang kanyang | true false false
ang PRSP mga  | ang kanyang mga | false true false
PRSP mga NNC  | kanyang mga kapatid | true false true
JJD PRS NNC  | nakita akong bahay | true true true
PRS NNC na  | akong bahay na | true true false
RBI RBI PRP  | na ba sila | true true true
NNC na VBTR  | bahay na nagkakahalaga | true false true
JJD na PRO  | Palit na ito | true false true
sa PRSP kinaroroonan  | sa kanilang kinaroroonan | false true false
VBTF sa PRSP  | sabihin sa kanila | true false true
ng NNC na  | ng bahay na | false true false
Hindi RBI PRP  | Hindi naman sila | false true true
hindi PRS RBT  | hindi ko tiyak | false true true
kung VBTF ko  | kung magagawa ko | false true false
VBTF ko ito  | magagawa ko ito | true false false
sa PRSP NNC  | sa kanyang taas | false true true
RBW JJD ang  | minsa'y sobra ang | true true false
tungkol sa NNC  | tungkol sa kulay | false false true
PRS RBI RBI  | ka na rin | true true true
RBF PRS VBTS  | hindi niya sinagot | true true true
PRS CCT PRQ  | ako sa ilang | true true true
VBW ito sa  | sana ito sa | true false false
RBW sa PRSP  | lagi sa akin | true false true
PRO sa PRSP  | ito sa akin | true false true
Walang anumang VBW  | Walang anumang makikita | false false true
kung RBQ VBTR  | kung anong nagnininging | false true true
Ngunit VBTS ng  | Ngunit idinugtong ng | false true false
VBTS ng munting  | idinugtong ng munting | true false false
, VBTR RBI  | , kumakain din | false true true
isang JJD NNC  | isang babasaging kayamanan | false true true
VBTR RBI PRP  | kumakain din sila | true true true
RBI sila ng  | din sila ng | true false false
hindi nila VBW  | hindi nila alam | false false true
PRP ng mga  | sila ng mga | true false false
may JJD NNC  | may mabubuting binhi | false true true
NNC PRO ,  | balong ito , | true true false
ito sa NNC  | ito sa lupa | false false true
RBF ko PRS  | Ayaw ko siyang | true false true
PRO ang JJD  | nito ang buong | true false true
ang JJD NNC  | ang buong planeta | false true true
PRO ng mga  | iyon ng mga | true false false
JJD siyang VBAF  | Pikit-mata siyang uminom | true false true
RBF RBI JJD  | wala namang masama | true true true
VBOF PRS ang  | Pinabayaan niya ang | true true false
ang JJN JJD  | ang tatlong maliliit | false true true
JJN JJD na  | tatlong maliliit na | true true false
JJD na NNC  | maliliit na puno | true false true
QOT ang NNC  | QOT ang sabi | false false true
NNC PRS CCT  | sabi niya sa | true true true
sa PRSP ,  | sa akin , | false true false
PRSP , QOT  | akin , QOT | true false false
VBS PRS VBAF  | Dapat kang magtrabaho | true true true
PRS ang NNC  | ko ang paglubog | true false true
tingnan PRP ang  | tingnan natin ang | false true false
na RBI VBAF  | na namang sumagot | false true true
RBI RBI PRS  | pa rin ako | true true true
VBAF ang munting  | sumagot ang munting | true false false
VBTR ng NNC  | Kinakain ng tupa | true false true
CCB NNC ang  | ng tupa ang | true true false
NNC ang PRI  | tupa ang lahat | true false true
mga NNC na  | mga bulaklak na | false true false
NNC ng mga  | gamit ng mga | true false false
RBF PRS VBW  | Hindi ko alam | true true true
RBF PRS VBTR  | Hindi ako naniniwala | true true true
VBTR sa PRSP  | naniniwala sa 'yo | true false true
JJD ang mga  | Mahina ang mga | true false false
ang mga NNC  | ang mga bulaklak | false false true
Ngunit JJD PRS  | Ngunit malumanay siyang | false true true
At PRS ,  | At ikaw , | false true false
, VBTR PRS  | , naniniwala ka | false true true
PRS , JJD  | ako , abala | true false true
JJD ako CCT  | abala ako sa | true false true
mga JJD NNC  | mga seryosong bagay | false true true
VBTR PRS PRS  | Tinitigan niya ako | true true true
PRS PRS at  | niya ako at | true true false
RBF PRS VBTF  | huwag kang pupunta | true true true
VBTR PRS ang  | Ginugulo mo ang | true true false
PRS ang lahat  | mo ang lahat | true false false
PRS sa NNC  | niya sa hangin | true false true
sa NNC ang  | sa hangin ang | false true false
NNC na NNC  | buhok na kulay-ginto | true false true
RBF RBI PRS  | hindi pa siya | true true true
pa PRS JJD  | pa siya nakakatingin | false true true
wala PRS JJD  | wala siyang ibang | false true true
RBF PRS NNC  | hindi siya tao | true true true
naupo PRS CCR  | naupo siya dahil | false true true
NNC , PRI  | tao , isa | true false true
isa PRS NNC  | isa s'yang kabute | false true true
RBI ngayon sa  | na ngayon sa | true false false
RBW sa NNC  | ngayon sa galit | true false true
NNC ang JJD  | galit ang munting | true false true
VBW PRS sa  | Masasabi niya sa | true true false
RBI PRS VBW  | na siyang masabi | true true true
PRS at VBTS  | siya at inihele | true false true
PRS NNC PRS  | kong palpak ako | true true true
PRS RBD RBD  | kong nakilalang mabuti | true true true
RBD ang NNC  | mabuti ang bulaklak | true false true
JJD NNC PRO  | bagong uri ito | true true true
NNC ito ng  | uri ito ng | true false false
ito ng NNC  | ito ng baobab | false false true
niyang RBD ang  | niyang mabuti ang | false true false
ang JJD PRS  | ang mahiwaga niyang | false true true
