RBI VBW  | naman matatakot | true true
at CCA  | at saka | false true
RBQ VBTR  | anong nagnininging | true true
CCA PRS  | saka niyang | true true
PRS VBTS  | niyang sinabing | true true
At VBTS  | At nagdrowing | false true
VBTS RBI  | nagdrowing nga | true true
VBAF ang  | Ngumiti ang | true false
na JJD  | na magaan | false true
RBI PRO  | naman niyan | true true
RBD RBD  | mabubuhay nang | true true
RBD ang  | matagal ang | true false
ang VBS  | ang gusto | false true
At NNC  | At pahabol | false true
VBTS :  | sinabi : | true false
RBL NNC  | Nasa loob | true true
NNC VBS  | tupang gusto | true true
RBI VBAF  | namang sumagot | true true
PRC talaga  | Ganito talaga | true false
RBT ang  | talaga ang | true false
, JJCS  | , napakaliit | false true
JJCS na  | Napakaliit na | true false
na NNC  | na tupa | false true
NNC RBI  | tupa naman | true true
ang VBTS  | ang ibinigay | false true
VBAF PRS  | Tumungo siya | true true
RBW NNC  | ngayong gabi | true true
VBOF ang  | tingnan ang | true false
RBF RBI  | Hindi naman | true true
RBI JJCS  | naman napakaliit | true true
RBI ,  | na , | true false
na PRS  | na siya | false true
na PRO  | na iyan | false true
Hindi PRO  | Hindi iyan | false true
VBTR PRO  | Lumilipad iyan | true true
na VBW  | na malaman | false true
PRS CCR  | siya dahil | true true
VBW PRS  | malaman niyang | true true
PRS JJD  | niyang nakalilipad | true true
PRS PMS  | niya : | true true
QOT VBAF  | QOT sumagot | false true
, JJD  | , galing | false true
RBI sa  | rin sa | true false
PRQ NNC  | Saang planeta | true true
PRS VBOF  | kong naliwanagan | true true
CCR RBI  | kung ba't | true true
CCB JJD  | nang deretso | true true
PRQ RBI  | Saan ba | true true
PRQ PRS  | Saan mo | true true
PRS VBS  | mo gustong | true true
VBS VBOF  | gustong dalhin | true true
na RBI  | na rin | false true
RBI NNC  | rin poste | true true
RBI VBTR  | namang humalakhak | true true
VBTR ang  | humalakhak ang | true false
CCT PRQ  | Pero saan | true true
PRS VBTF  | siya pupunta | true true
JJD RBL  | Dere-deretso sa | true true
RBL RBL  | sa harap | true true
RBL PRS  | harap niya | true true
RBD ng  | sinabi ng | true false
RBI RBI  | lang naman | true true
RBI ng  | naman ng | true false
PRS ,  | n'ya , | true false
, RBF  | , walang | false true
JJD VBW  | malayong mararating | true true
PRS gaanong  | ako gaanong | true false
sa NNC  | sa reputasyon | false true
ng NNP  | ng Asteroid | false true
At RBW  | At noo'y | false true
RBW VBTS  | noo'y naniwala | true true
CCT mga  | sa mga | true false
VBTR RBI  | Nangungulekta ba | true true
PRSP mga  | kanyang mga | true false
May JJD  | May nakita | false true
na VBTR  | na nagkakahalaga | false true
VBTR ng  | nagkakahalaga ng | true false
CDB NNC  | 5,000,000 piso | true true
VBTF CCT  | sabihin sa | true true
RBT ,  | O , | true false
talaga PRP  | talaga sila | false true
RBI PRP  | naman sila | true true
RBF PRI  | Hindi lahat | true true
may NNC  | may kaibigan | false true
PRS RBT  | ko tiyak | true true
kung VBTF  | kung magagawa | false true
JJD VBTR  | medyo namamali | true true
RBK minsa'y  | Kung minsa'y | true false
RBW JJD  | minsa'y sobra | true true
sa NNC  | sa kulay | false true
VBTF RBI  | Magkakamali rin | true true
RBI RBT  | rin siyempre | true true
RBT PRS  | siyempre ako | true true
mas JJD  | mas mahahalagang | false true
VBW PRO  | sana ito | true true
RBI siguro  | na siguro | true false
RBM PRS  | siguro ako | true true
CCT VBTS  | Ngunit idinugtong | true true
VBTS ng  | idinugtong ng | true false
, VBTR  | , kumakain | false true
VBTR PRP  | pagpatung-patungin sila | true true
VBTS ang  | Naglipana ang | true false
VBTF PRO  | Masasakop nito | true true
ang JJD  | ang buong | false true
PRO ng  | iyon ng | true false
pero JJCS  | pero napakadali | false true
NNC e  | araw e | true false
VBTF PRP  | magbibiyahe sila | true true
RBT VBW  | maaaring makatulong | true true
JJD na  | masama na | true false
ang JJN  | ang tatlong | false true
JJN JJD  | tatlong maliliit | true true
PRSP ,  | akin , | true false
RBF VBAF  | Ayokong lumabas | true true
VBAF na  | lumabas na | true false
CCT PRS  | para akong | true true
PRS VBTR  | akong nangangaral | true true
PRS QOT  | kong QOT | true false
JJCS PRS  | lubos kong | true true
NNC VBTR  | leksyong ibinibigay | true true
RBS ,  | Halika , | true false
tingnan PRP  | tingnan natin | false true
kailangang VBAF  | kailangang maghintay | false true
VBAF CCB  | Maghintay ng | true true
PRS RBL  | ko nasa | true true
nasa PRSP  | nasa aking | false true
RBT RBI  | Oo nga | true true
VBTR CCT  | naniniwala sa | true true
RBF PRP  | Wala silang | true true
mga JJD  | mga seryosong | false true
PRS at  | ako at | true false
PRS JJC  | ka gaya | true true
JJC NNC  | ng matatanda | true true
Talaga CCB  | Talaga nang | false true
JJCS JJCS  | inis na | true true
wala RBI  | wala pa | false true
wala PRS  | wala siyang | false true
CCT VBAF  | kundi magbilang | true true
NNC ,  | tao , | true false
, PRI  | , isa | false true
isa PRS  | isa s'yang | false true
RBI ngayon  | na ngayon | true false
RBW sa  | ngayon sa | true false
CCA hindi  | At hindi | true false
VBW RBI  | masabi pa | true true
RBW RBI  | Gabi na | true true
RBT JJD  | Maaaring bagong | true true
JJN NNC  | maraming araw | true true
RBS PRS  | Pasensya ka | true true
ang RBD  | ang malambing | false true
JJD CCB  | kasabay ng | true true
QOT VBTS  | QOT idinagdag | false true
, CCT  | , o | false true
RBF VBTR  | hindi kumakain | true true
RBI kasi  | naman kasi | true false
RBW VBAF  | nang dumating | true true
RBI RBF  | Kaya wala | true true
sa JJD  | sa ibang | false true
RBI VBOF  | lamang tingnan | true true
at VBOF  | at amuyin | false true
JJD VBAF  | marunong umunawa | true true
VBAF RBW  | umunawa noon | true true
at VBTR  | at pinapagliwanag | false true
RBF VBW  | Hindi sana | true true
May CDB  | May dalawa | false true
PRS RBF  | niya'y hindi | true true
ang VBW  | ang sabi | false true
VBH PRS  | mahal kita | true true
QOT VBW  | QOT sabi | false true
VBW ng  | sabi ng | true false
, VBTS  | , naging | false true
ang VBTF  | ang dadalaw | false true
CCT CDB  | sa unang | true true
JJD PRP  | Sakop nila | true true
akin CCT  | akin para | false true
para VBW  | para makita | false true
PRO RBI  | ito kayang | true true
sa PRSP  | sa akin'y | false true
PRSP JJD  | akin'y nakapagtataka | true true
QOT RBD  | QOT nakikiming | false true
CCT VBTR  | Ngunit nagtataka | true true
PRQ VBW  | ano makapaghahari | true true
PRP VBTR  | kayo naghahari | true true
ng PRO  | ng iyan | false true
, RBT  | , siyempre | false true
CDB CCT  | Una sa | true true
NNC JJD  | katwiran nakasalalay | true true
PRS kung  | mo kung | true false
ang RBF  | ang di | false true
medyo VBTR  | medyo naiinip | false true
, VBTF  | , gagawin | false true
NNC PRL  | tao doon | true true
PRL RBL  | doon sa | true true
VBAF CCT  | sumagot sa | true true
PRSP ang  | kanya ang | true false
VBW VBAF  | kailangang tumira | true true
NNC RBW  | kamatayan paminsan-minsan | true true
CCR siya  | kasi siya | true false
NNC VBW  | Halimbawa'y mauuusan | true true
VBAF NNC  | umalis pagkaraan | true true
PRS may  | siyang may | true false
May PRI  | May isang | false true
Magandang RBS  | Magandang umaga | false true
JJD PRO  | nakalilibang ito | true true
ito JJC  | ito kaysa | false true
VBTF ng  | sabihin ng | true false
JJD VBTF  | Basta hanggaan | true true
PRSP VBTR  | aking ikinahihiya | true true
PRQ VBTR  | Anong ikinahihiya | true true
CDB na  | ika'pat na | true false
CDB at  | Tatlo at | true false
at CDB  | at dalawa | false true
CDB ay  | dalawa ay | true false
ay CDB  | ay lima | false true
CDB CDB  | dalawampu't dalawa | true true
VBOF PRO  | sindihan ito | true true
PRL ka  | Nariyan ka | true false
CCT may  | Pero may | true false
medyo JJD  | medyo matulain | false true
akong JJN  | akong tatlong | false true
muli PRS  | muli niyang | false true
RBW may  | Dati'y may | true false
CCT RBT  | Dahil maaaring | true true
PRI VBW  | kapwa maging | true true
maging JJD  | maging tapat | false true
ito VBW  | ito mapabubuti | false true
NNC para  | lugar para | true false
RBT na  | tunay na | true false
ba PRL  | ba dito | false true
JJCS PRO  | Napakakumplikado n'yon | true true
CCT VBTF  | Ngunit hihingin | true true
JJN PRS  | tatlo akong | true true
PRO VBTR  | ito nagbabago | true true
Ang NNP  | Ang Munting | false true
NNP NNP  | Munting Prinsipe | true true
PRL ang  | Narito ang | true false
ang NNC  | ang kopya | false true
NNC CCB  | kopya ng | true true
CCB NNC  | ng drowing | true true
RBL ng  | kabila ng | true false
NNC CCT  | sabi sa | true true
CCT NNC  | sa libro'y | true true
JJC PRO  | Katulad iyon | true true
nasa NNP  | nasa Afrika | false true
PRO PMS  | nito : | true true
